record_id,profile_type,profile_id,age,income,credit_score,financial_health_score,repayment_behaviour_score,digital_engagement_score,financial_capacity_score,lead_score,lead_quality_score,lead_authenticity_score,income_confidence_score,relationship_score,savings_ratio,emi_burden,cash_flow_score,digital_adoption_score,customer_value_score,occupation,employment_type,city,target_repayment_capacity,created_at
404b820f-6db6-487c-a961-30d1f44063ce,Internal,419cbb33-0704-4036-8eea-96cb9ba6cf47,38,44000.0,,72.78,75.0,55.17,,,,,,20.93,100.0,0.0,100.0,60.48,37.12,Sales Executive,,Patna,Medium,2026-07-10 02:37:00.112516
c6f208f7-c16f-40ef-a80f-15de71116a02,Internal,7affa212-9ead-4fbc-bd90-01daa8326d5c,23,81916.67,,72.71,74.4,55.64,,,,,,20.74,100.0,4.0,100.0,61.03,34.73,Software Engineer,,Patna,High,2026-07-10 02:37:00.112516
6061fe36-55a7-4ef4-8b93-8d78ca7044de,Internal,43d06dd0-d447-4a9c-a94a-8cc78e3877b8,35,133833.33,,74.82,74.85,55.14,,,,,,22.3,100.0,1.0,100.0,60.56,35.39,Government Employee,,Pune,Very High,2026-07-10 02:37:00.112516
7fb22cde-85a5-4427-a5f2-783825729651,Internal,d74eba21-a069-4905-b0b8-5b1db2eca4e6,38,140083.33,,74.85,75.0,55.43,,,,,,20.84,100.0,0.0,100.0,60.3,36.78,Chartered Accountant,,Hyderabad,Very High,2026-07-10 02:37:00.112516
358f9219-1ef4-446e-94af-760b582626a2,Internal,3940ad61-50f6-41da-a185-c2f0f5491ce0,43,140250.0,,74.59,74.63,55.38,,,,,,22.16,100.0,2.5,100.0,60.91,33.87,Software Engineer,,Patna,Very High,2026-07-10 02:37:00.112516
fdddb3a5-8171-4000-8a08-40a505b5fb93,Internal,a650163c-1f27-4ff9-91c0-d689ce0763e7,26,150000.0,,75.3,74.85,55.78,,,,,,22.83,100.0,1.0,100.0,62.0,37.7,Software Engineer,,Chandigarh,Very High,2026-07-10 02:37:00.112516
50b9c9c3-a117-465f-9f97-7f54a0f70d0c,Internal,bef861da-c32e-4807-9c5a-daca9352fafe,23,82666.67,,73.69,74.7,55.71,,,,,,23.14,100.0,2.0,100.0,60.91,37.65,Government Employee,,Hyderabad,High,2026-07-10 02:37:00.112516
5d3db4c1-1287-49f4-81b3-2019258e44f0,Internal,021069e7-d734-49f2-abd6-633fd1ecbfff,44,352666.67,,79.36,74.63,55.68,,,,,,23.43,100.0,2.5,100.0,60.97,39.3,Doctor,,Bengaluru,Very High,2026-07-10 02:37:00.112516
cc465a5e-139c-4383-a1e7-1a0a9213f924,Internal,f0806eaa-7f9a-475f-8a08-5e3989b8acba,55,38916.67,,72.9,74.78,55.58,,,,,,23.32,100.0,1.5,100.0,61.76,40.4,Sales Executive,,Patna,Low,2026-07-10 02:37:00.112516
2bb8f4d8-3806-4d47-97d9-d9662f6d0ed8,Internal,af968f73-d670-4afe-9348-4359b481b528,24,38750.0,,72.41,74.7,55.62,,,,,,21.68,100.0,2.0,100.0,61.11,32.37,Government Employee,,Jaipur,Low,2026-07-10 02:37:00.112516
1d0d5915-9266-4fd7-b308-dddea7d41977,Internal,0c47cd7a-6d5a-4d1f-89f3-bb1a0340d928,41,220333.33,,76.45,75.0,55.41,,,,,,20.27,100.0,0.0,100.0,60.83,34.87,Software Engineer,,Chennai,Very High,2026-07-10 02:37:00.112516
91a0f466-e7d7-4a98-b73c-532c7baa5c5e,Internal,ab104acd-aeb2-4719-bf85-59d6a54a3fcd,56,78166.67,,73.49,74.78,55.16,,,,,,22.32,100.0,1.5,100.0,60.0,33.33,Government Employee,,Chandigarh,High,2026-07-10 02:37:00.112516
8a751893-579c-430c-afa5-3368c3337355,Internal,96b7ed0f-d233-4a5a-ac56-d3695bdfdaa5,29,436833.33,,79.38,75.0,55.99,,,,,,21.0,100.0,0.0,100.0,60.95,37.94,Doctor,,Hyderabad,Very High,2026-07-10 02:37:00.112516
9ebb8763-f56b-4137-b8bd-987dd47d4c9b,Internal,18a6d5a7-44b0-4cb7-bffe-784767d8b52a,48,71666.67,,72.94,75.0,55.44,,,,,,19.04,100.0,0.0,100.0,60.77,26.72,Software Engineer,,Bhubaneswar,Medium,2026-07-10 02:37:00.112516
2df02ebe-e703-4adc-8630-49ad335f40a7,Internal,e4ca7f33-b4bd-43df-b7a8-e0c2d09c2a75,28,78833.33,,73.0,74.4,56.48,,,,,,22.28,100.0,4.0,100.0,63.33,35.32,Government Employee,,Hyderabad,High,2026-07-10 02:37:00.112516
b56a9085-e18f-4580-883a-55c1c11fbb15,Internal,e5d4c219-9f1f-40a4-ac25-aae23f574f2f,50,86583.33,,73.7,74.85,55.45,,,,,,21.78,100.0,1.0,100.0,60.8,39.52,Teacher,,Bhubaneswar,High,2026-07-10 02:37:00.112516
1a847c1a-9ebf-4ea3-9634-7100837ecfd1,Internal,26dfb983-658d-4455-b62b-1bb2be38d296,40,128250.0,,74.69,74.78,55.57,,,,,,22.73,100.0,1.5,100.0,61.43,36.92,Mechanical Engineer,,Surat,Very High,2026-07-10 02:37:00.113514
5ceaed1b-3bdb-40cb-bec7-3849aefe5185,Internal,ff40749b-8919-4705-80a6-44f82f926e38,59,125000.0,,74.25,74.7,55.78,,,,,,21.51,100.0,2.0,100.0,62.0,31.99,Mechanical Engineer,,Lucknow,Very High,2026-07-10 02:37:00.113514
1a2359be-44ea-43dc-80fe-6665b5c3fae1,Internal,71e38d7f-1ed4-4945-904f-c2afe0421417,57,47916.67,,72.81,74.7,55.77,,,,,,22.57,100.0,2.0,100.0,61.54,34.96,Government Employee,,Patna,Medium,2026-07-10 02:37:00.113514
f3a4e1e2-fa49-4c2a-8628-c6d631a5e2c2,Internal,d5176c37-448f-4bd2-835c-04c1cc5930f6,51,69833.33,,73.33,75.0,55.77,,,,,,20.79,100.0,0.0,100.0,61.82,37.95,Mechanical Engineer,,Kolkata,Medium,2026-07-10 02:37:00.113514
f51d5bd4-fc9a-4459-81d6-070771824478,Internal,45ad3cd2-fcce-4c62-bfa1-d20426d873f1,40,246750.0,,76.96,74.63,55.06,,,,,,22.51,100.0,2.5,100.0,60.77,35.32,Freelancer,,Coimbatore,Very High,2026-07-10 02:37:00.113514
e5edc793-0b4c-44ea-b180-69d68c7c0e51,Internal,291ae8ac-5dd0-436e-a6a5-2a3fe54ef5f4,19,9583.33,,71.7,75.0,55.57,,,,,,19.37,100.0,0.0,100.0,61.58,30.62,Student,,Indore,Low,2026-07-10 02:37:00.113514
b1806acb-4501-4aed-83a0-bec082888df9,Internal,837a7fc0-7f32-43b8-b590-a0866fc1e930,35,125166.67,,74.49,75.0,55.6,,,,,,20.72,100.0,0.0,100.0,61.2,35.84,Software Engineer,,Ahmedabad,Very High,2026-07-10 02:37:00.113514
53a33ef1-2ed7-4c9e-a2cb-53473b33207a,Internal,27d1f47f-8255-47aa-8636-0ab7520c515d,42,225416.67,,76.53,75.0,55.78,,,,,,20.06,100.0,0.0,100.0,62.0,34.47,Software Engineer,,Kolkata,Very High,2026-07-10 02:37:00.113514
6af83f45-c060-46a0-9622-42d19c9d2cf5,Internal,f1783a8b-d3de-4cd5-a373-f59f6c779e8a,57,83083.33,,72.95,74.4,55.86,,,,,,21.72,100.0,4.0,100.0,61.18,32.02,Bank Employee,,Kolkata,High,2026-07-10 02:37:00.113514
4b1d4eab-d2f7-4d27-aabc-14410b8194dd,Internal,c0026d95-720b-405d-91cc-7d5695ac9c36,48,194500.0,,76.01,74.78,55.35,,,,,,22.29,100.0,1.5,100.0,61.11,35.11,Software Engineer,,Hyderabad,Very High,2026-07-10 02:37:00.113514
192f15d6-a089-4480-8602-99b059691e2f,Internal,7b0ca1e0-bf5c-482a-b466-839b973bc00f,42,134833.33,,74.73,74.7,55.78,,,,,,22.76,100.0,2.0,100.0,60.81,36.41,Software Engineer,,Chennai,Very High,2026-07-10 02:37:00.113514
55d56cc2-0710-48ae-b562-c09844d69fe5,Internal,dc605d54-5e23-4e25-ad0b-016235781f6b,50,144583.33,,74.94,74.7,55.35,,,,,,22.79,100.0,2.0,100.0,61.11,37.02,Business Owner,,Patna,Very High,2026-07-10 02:37:00.113514
e3484498-2755-4c15-9ecc-8de9c1380b49,Internal,aaab0519-70ce-427f-8d42-c229739da884,55,81833.33,,72.83,74.63,55.57,,,,,,19.85,100.0,2.5,100.0,61.43,31.13,Software Engineer,,Pune,High,2026-07-10 02:37:00.113514
cf4e0ac3-f157-43a1-8e0a-39f1ff978c15,Internal,90e89aeb-5b37-48be-ba0e-44a12485861e,34,140000.0,,74.85,74.85,55.46,,,,,,21.85,100.0,1.0,100.0,62.0,33.51,Doctor,,Visakhapatnam,Very High,2026-07-10 02:37:00.113514
dedce366-0253-4830-9dae-a42de6558071,Internal,78e9d6cb-669c-4005-891c-4dae605bcfd1,39,128166.67,,74.43,74.63,55.57,,,,,,22.6,100.0,2.5,100.0,61.43,35.72,Government Employee,,Chennai,Very High,2026-07-10 02:37:00.113514
2b0df474-dc5d-411b-a685-55c4b76e4393,Internal,0ae05a2e-b089-4575-a112-662f463d71b0,24,125833.33,,73.88,74.4,55.08,,,,,,21.92,100.0,4.0,100.0,60.67,31.99,Government Employee,,Delhi,Very High,2026-07-10 02:37:00.113514
945216bb-a62e-454d-a6bc-379cb40ace2f,Internal,786182b4-aec4-4d17-8225-d38acde50411,53,103666.67,,89.53,74.4,4.12,,,,,,,100.0,4.0,100.0,,,Software Engineer,,Pune,Very High,2026-07-10 02:37:00.113514
64c1a851-5c2c-4aca-b817-5b059ecf2b10,Internal,a950481f-8f0c-4d33-9fc8-257d4dbee0df,36,90916.67,,73.75,74.7,55.14,,,,,,22.7,100.0,2.0,100.0,60.53,36.57,Software Engineer,,Chandigarh,High,2026-07-10 02:37:00.113514
